ID,Artists,Name,Weekly.Rank,Peak.Position,Chart.Weeks,BB.Week,Release.Date
1342,"Summer Walker, Drake",Girls Need Love,58,37,5,2019-04-06,"February 27, 2019"
1343,Kane Brown,Good As You,59,59,5,2019-04-06,"October 19, 2018"
1344,Kelsea Ballerini,Miss Me More,60,60,8,2019-04-06,"October 20, 2017"
1345,FLETCHER,Undrunk,61,61,3,2019-04-06,"January 25, 2019"
1346,Ella Mai,Shot Clock,62,62,9,2019-04-06,"October 12, 2018"
1347,P!nk,Walk Me Home,63,54,4,2019-04-06,"February 20, 2019"
1348,Chris Stapleton,Millionaire,64,47,16,2019-04-06,"October 20, 2017"
1349,Jake Owen,Down To The Honkytonk,65,65,13,2019-04-06,"August 10, 2018"
1350,Morgan Wallen,Whiskey Glasses,66,66,4,2019-04-06,"April 27, 2018"
1351,Michael Ray,One That Got Away,67,67,5,2019-04-06,"June 1, 2018"
1352,Scotty McCreery,This Is It,68,42,16,2019-04-06,"May 7, 2018"
1353,Thomas Rhett,Look What God Gave Her,69,52,4,2019-04-06,"March 1, 2019"
1354,Lil Baby,Pure Cocaine,70,46,14,2019-04-06,"November 30, 2018"
1355,Riley Green,There Was This Girl,71,71,5,2019-04-06,"June 29, 2018"
1356,NAV,Price On My Head,72,NA,NA,2019-04-06,"March 22, 2019"
1357,"Khalid, Kane Brown",Saturday Nights,73,57,8,2019-04-06,"January 11, 2019"
1358,Old Dominion,Make It Sweet,74,74,13,2019-04-06,"October 8, 2018"
1359,"Lil Peep, iLoveMakonnen",I've Been Waiting,75,75,3,2019-04-06,"January 31, 2019"
1360,Jason Aldean,Girl Like You,76,46,18,2019-04-06,"April 13, 2018"
1361,Maren Morris,GIRL,77,61,4,2019-04-06,"January 17, 2019"
1362,Logic,Confessions Of A Dangerous Mind,78,NA,NA,2019-04-06,"March 22, 2019"
1363,Jordan Davis,Take It From Me,79,46,13,2019-04-06,"October 19, 2017"
1364,Rich The Kid,Splashin,80,80,5,2019-04-06,"December 3, 2018"
1365,Jon Pardi,Night Shift,81,81,6,2019-04-06,"June 17, 2016"
1366,Lil Skies,I,82,39,4,2019-04-06,"February 28, 2019"
1367,Lee Brice,Rumor,83,83,3,2019-04-06,"November 3, 2017"
1368,Billie Eilish,Wish You Were Gay,84,59,4,2019-04-06,"March 4, 2019"
1369,"benny blanco, Tainy, Selena Gomez, J Balvin",I Can't Get Enough,85,66,4,2019-04-06,"February 28, 2019"
1370,Juice WRLD,Hear Me Calling,86,38,4,2019-04-06,"March 1, 2019"
1371,Ski Mask The Slump God,Faucet Failure,87,87,5,2019-04-06,"November 30, 2018"
1372,Florida Georgia Line,Talk You Out Of It,88,80,6,2019-04-06,"July 6, 2018"
1373,NAV,Tap,89,NA,NA,2019-04-06,"March 22, 2019"
1374,"Pedro Capo, Farruko",Calma,90,90,3,2019-04-06,"October 5, 2018"
1375,Chris Brown,Undecided,91,35,12,2019-04-06,"January 4, 2019"
1376,Cody Johnson,On My Way To You,92,91,7,2019-04-06,"August 10, 2018"
1377,"Anuel AA, Karol G",Secreto,93,68,8,2019-04-06,"January 15, 2019"
1378,Kodak Black,Calling My Spirit,94,46,17,2019-04-06,"November 30, 2018"
1379,Polo G,Pop Out,95,NA,NA,2019-04-06,"January 13, 2019"
1380,"Billie Eilish, Khalid",Lovely,96,64,21,2019-04-06,"April 19, 2018"
1381,Mabel,Don't Call Me Up,97,NA,NA,2019-04-06,"January 18, 2019"
1382,Bebe Rexha,Last Hurrah,98,NA,NA,2019-04-06,"February 15, 2019"
1383,Juice WRLD,Empty,99,41,3,2019-04-06,"March 8, 2019"
1384,Carrie Underwood,Love Wins,100,83,10,2019-04-06,"August 31, 2018"
1385,Ariana Grande,7 Rings,1,1,9,2019-03-30,"January 18, 2019"
1386,Halsey,Without Me,2,1,24,2019-03-30,"October 4, 2018"
1387,"Post Malone, Swae Lee",Sunflower,3,1,22,2019-03-30,"October 18, 2018"
1388,Post Malone,Wow.,4,4,13,2019-03-30,"December 24, 2018"
1389,"Cardi B, Bruno Mars",Please Me,5,3,5,2019-03-30,"February 15, 2019"
1390,"Marshmello, Bastille",Happier,6,2,31,2019-03-30,"August 17, 2018"
1391,"Lady Gaga, Bradley Cooper",Shallow,7,1,25,2019-03-30,"September 27, 2018"
1392,Jonas Brothers,Sucker,8,1,3,2019-03-30,"March 1, 2019"
1393,J. Cole,Middle Child,9,4,9,2019-03-30,"January 23, 2019"
1394,Meek Mill,Going Bad,10,6,16,2019-03-30,"November 30, 2018"
1395,Blueface,Thotiana,11,9,10,2019-03-30,"February 16, 2019"
1396,"benny blanco, Halsey, Khalid",Eastside,12,9,36,2019-03-30,"July 12, 2018"
1397,Travis Scott,Sicko Mode,13,1,33,2019-03-30,"August 3, 2018"
1398,Panic! At The Disco,High Hopes,14,4,33,2019-03-30,"May 23, 2018"
1399,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",15,2,6,2019-03-30,"February 8, 2019"
1400,YNW Melly,Murder On My Mind,16,14,9,2019-03-30,"March 4, 2017"
1401,"Sam Smith, Normani",Dancing With A Stranger,17,17,10,2019-03-30,"January 11, 2019"
1402,Khalid,Better,18,18,27,2019-03-30,"September 14, 2018"
1403,Ariana Grande,"Thank U, Next",19,1,20,2019-03-30,"November 3, 2018"
1404,Ava Max,Sweet But Psycho,20,20,14,2019-03-30,"August 17, 2018"
1405,21 Savage,A Lot,21,12,13,2019-03-30,"December 21, 2018"
1406,Maroon 5,Girls Like You,22,1,43,2019-03-30,"May 30, 2018"
1407,Dean Lewis,Be Alright,23,23,21,2019-03-30,"June 28, 2018"
1408,"Lil Baby, Gunna",Drip Too Hard,24,4,27,2019-03-30,"September 9, 2018"
1409,Luke Combs,Beautiful Crazy,25,23,19,2019-03-30,"May 4, 2018"
1410,Cardi B,Money,26,13,22,2019-03-30,"October 23, 2018"
1411,Post Malone,Better Now,27,3,47,2019-03-30,"April 27, 2018"
1412,"Ellie Goulding, Diplo",Close To Me,28,28,18,2019-03-30,"October 24, 2018"
1413,Lauren Daigle,You Say,29,29,36,2019-03-30,"July 13, 2018"
1414,Bad Bunny,MIA,30,5,23,2019-03-30,"October 11, 2018"
1415,Kodak Black,ZEZE,31,2,23,2019-03-30,"October 12, 2018"
1416,Lil Nas X,Old Town Road,32,32,3,2019-03-30,"April 5, 2019"
1417,5 Seconds Of Summer,Youngblood,33,7,42,2019-03-30,"April 12, 2018"
1418,"Mustard, Migos",Pure Water,34,34,8,2019-03-30,"January 16, 2019"
1419,Juice WRLD,Robbery,35,27,5,2019-03-30,"February 13, 2019"
1420,A Boogie Wit da Hoodie,Look Back At It,36,32,15,2019-03-30,"December 7, 2018"
1421,Pinkfong,Baby Shark,37,32,12,2019-03-30,"June 17, 2016"
1422,Dan + Shay,Tequila,38,21,46,2019-03-30,"January 10, 2018"
1423,Calboy,Envy Me,39,39,14,2019-03-30,"September 13, 2018"
1424,Juice WRLD,Lucid Dreams,40,2,45,2019-03-30,"July 1, 2017"
1425,Khalid,Talk,41,41,6,2019-03-30,"February 7, 2019"
1426,DJ Snake,Taki Taki,42,11,25,2019-03-30,"September 28, 2018"
1427,YNW Melly,Mixed Personalities,43,43,9,2019-03-30,"January 18, 2019"
1428,"Cardi B, Bad Bunny, J Balvin",I Like It,44,1,50,2019-03-30,"April 6, 2018"
1429,A Boogie Wit da Hoodie,Swervin,45,38,13,2019-03-30,"December 21, 2018"
1430,Billie Eilish,Bury A Friend,46,14,8,2019-03-30,"January 30, 2019"
1431,Chris Stapleton,Millionaire,47,47,15,2019-03-30,"October 20, 2017"
1432,"Daddy Yankee, Katy Perry",Con Calma,48,48,7,2019-03-30,"April 19, 2019"
1433,Yo Gotti,Put A Date On It,49,49,8,2019-03-30,"January 25, 2019"
1434,City Girls,Act Up,50,50,3,2019-03-30,"November 16, 2018"
1435,City Girls,Twerk,51,29,11,2019-03-30,"November 9, 2018"
1436,"Summer Walker, Drake",Girls Need Love,52,37,4,2019-03-30,"February 27, 2019"
1437,Brett Young,Here Tonight,53,53,11,2019-03-30,"September 14, 2018"
1438,The Chainsmokers,Who Do You Love,54,54,6,2019-03-30,"February 7, 2019"
1439,ScHoolboy Q,Numb Numb Juice,55,NA,NA,2019-03-30,"March 14, 2019"
1440,YK Osiris,Worth It,56,56,5,2019-03-30,"February 8, 2019"
1441,Lil Baby,Pure Cocaine,57,46,13,2019-03-30,"November 30, 2018"
1442,Lil Baby,Close Friends,58,28,21,2019-03-30,"October 5, 2018"
1443,Imagine Dragons,Bad Liar,59,59,4,2019-03-30,"November 6, 2018"
1444,Juice WRLD,Hear Me Calling,60,38,3,2019-03-30,"March 1, 2019"
1445,Chase Rice,Eyes On You,61,61,5,2019-03-30,"October 13, 2017"
1446,Iggy Azalea,Sally Walker,62,NA,NA,2019-03-30,"March 15, 2019"
1447,Jordan Davis,Take It From Me,63,46,12,2019-03-30,"October 19, 2017"
1448,Scotty McCreery,This Is It,64,42,15,2019-03-30,"May 7, 2018"
1449,Ella Mai,Shot Clock,65,65,8,2019-03-30,"October 12, 2018"
1450,"benny blanco, Tainy, Selena Gomez, J Balvin",I Can't Get Enough,66,66,3,2019-03-30,"February 28, 2019"
1451,Juice WRLD,Empty,67,41,2,2019-03-30,"March 8, 2019"
1452,FLETCHER,Undrunk,68,68,2,2019-03-30,"January 25, 2019"
1453,Kane Brown,Good As You,69,69,4,2019-03-30,"October 19, 2018"
1454,"Khalid, Kane Brown",Saturday Nights,70,57,7,2019-03-30,"January 11, 2019"
1455,Lil Skies,I,71,39,3,2019-03-30,"February 28, 2019"
1456,Riley Green,There Was This Girl,72,71,4,2019-03-30,"June 29, 2018"
1457,Chris Brown,Undecided,73,35,11,2019-03-30,"January 4, 2019"
1458,Jason Aldean,Girl Like You,74,46,17,2019-03-30,"April 13, 2018"
1459,Morgan Wallen,Whiskey Glasses,75,75,3,2019-03-30,"April 27, 2018"
1460,Old Dominion,Make It Sweet,76,76,12,2019-03-30,"October 8, 2018"
1461,Kelsea Ballerini,Miss Me More,77,77,7,2019-03-30,"October 20, 2017"
1462,Michael Ray,One That Got Away,78,78,4,2019-03-30,"June 1, 2018"
1463,Marshmello,Here With Me,79,75,2,2019-03-30,"March 8, 2019"
1464,Thomas Rhett,Look What God Gave Her,80,52,3,2019-03-30,"March 1, 2019"
1465,Jake Owen,Down To The Honkytonk,81,69,12,2019-03-30,"August 10, 2018"
1466,Maren Morris,GIRL,82,61,3,2019-03-30,"January 17, 2019"
1467,"Anuel AA, Romeo Santos",Ella Quiere Beber,83,61,20,2019-03-30,"November 1, 2018"
1468,"Lil Peep, iLoveMakonnen",I've Been Waiting,84,84,2,2019-03-30,"January 31, 2019"
1469,Jon Pardi,Night Shift,85,85,5,2019-03-30,"June 17, 2016"
1470,Juice WRLD,Fast,86,47,2,2019-03-30,"March 8, 2019"
1471,Billie Eilish,Wish You Were Gay,87,59,3,2019-03-30,"March 4, 2019"
1472,Lee Brice,Rumor,88,88,2,2019-03-30,"November 3, 2017"
1473,P!nk,Walk Me Home,89,54,3,2019-03-30,"February 20, 2019"
1474,Ski Mask The Slump God,Faucet Failure,90,87,4,2019-03-30,"November 30, 2018"
1475,"Pedro Capo, Farruko",Calma,91,91,2,2019-03-30,"October 5, 2018"
1476,Kodak Black,Calling My Spirit,92,46,16,2019-03-30,"November 30, 2018"
1477,Florida Georgia Line,Talk You Out Of It,93,80,5,2019-03-30,"July 6, 2018"
1478,"Anuel AA, Karol G",Secreto,94,68,7,2019-03-30,"January 15, 2019"
1479,Cody Johnson,On My Way To You,95,91,6,2019-03-30,"August 10, 2018"
1480,Joji,Slow Dancing In The Dark,96,NA,NA,2019-03-30,"September 12, 2018"
1481,Alec Benjamin,Let Me Down Slowly,97,79,6,2019-03-30,"January 7, 2019"
1482,"Billie Eilish, Khalid",Lovely,98,64,20,2019-03-30,"April 19, 2018"
1483,Khalid,My Bad,99,77,2,2019-03-30,"March 7, 2019"
1484,Carrie Underwood,Love Wins,100,83,9,2019-03-30,"August 31, 2018"
1485,Ariana Grande,7 Rings,1,1,8,2019-03-23,"January 18, 2019"
1486,"Post Malone, Swae Lee",Sunflower,2,1,21,2019-03-23,"October 18, 2018"
1487,Halsey,Without Me,3,1,23,2019-03-23,"October 4, 2018"
1488,"Cardi B, Bruno Mars",Please Me,4,3,4,2019-03-23,"February 15, 2019"
1489,Post Malone,Wow.,5,5,12,2019-03-23,"December 24, 2018"
1490,Jonas Brothers,Sucker,6,1,2,2019-03-23,"March 1, 2019"
1491,"Marshmello, Bastille",Happier,7,2,30,2019-03-23,"August 17, 2018"
1492,J. Cole,Middle Child,8,4,8,2019-03-23,"January 23, 2019"
1493,"Lady Gaga, Bradley Cooper",Shallow,9,1,24,2019-03-23,"September 27, 2018"
1494,Travis Scott,Sicko Mode,10,1,32,2019-03-23,"August 3, 2018"
1495,Blueface,Thotiana,11,9,9,2019-03-23,"February 16, 2019"
1496,Panic! At The Disco,High Hopes,12,4,32,2019-03-23,"May 23, 2018"
1497,"benny blanco, Halsey, Khalid",Eastside,13,9,35,2019-03-23,"July 12, 2018"
1498,Meek Mill,Going Bad,14,6,15,2019-03-23,"November 30, 2018"
1499,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",15,2,5,2019-03-23,"February 8, 2019"
1500,Ariana Grande,"Thank U, Next",16,1,19,2019-03-23,"November 3, 2018"
1501,YNW Melly,Murder On My Mind,17,14,8,2019-03-23,"March 4, 2017"
1502,"Sam Smith, Normani",Dancing With A Stranger,18,18,9,2019-03-23,"January 11, 2019"
1503,Khalid,Better,19,18,26,2019-03-23,"September 14, 2018"
1504,Maroon 5,Girls Like You,20,1,42,2019-03-23,"May 30, 2018"
1505,21 Savage,A Lot,21,12,12,2019-03-23,"December 21, 2018"
1506,Ava Max,Sweet But Psycho,22,22,13,2019-03-23,"August 17, 2018"
1507,Cardi B,Money,23,13,21,2019-03-23,"October 23, 2018"
1508,"Lil Baby, Gunna",Drip Too Hard,24,4,26,2019-03-23,"September 9, 2018"
1509,Dean Lewis,Be Alright,25,25,20,2019-03-23,"June 28, 2018"
1510,Luke Combs,Beautiful Crazy,26,23,18,2019-03-23,"May 4, 2018"
1511,Juice WRLD,Robbery,27,27,4,2019-03-23,"February 13, 2019"
1512,Bad Bunny,MIA,28,5,22,2019-03-23,"October 11, 2018"
1513,Kodak Black,ZEZE,29,2,22,2019-03-23,"October 12, 2018"
1514,Post Malone,Better Now,30,3,46,2019-03-23,"April 27, 2018"
1515,"Ellie Goulding, Diplo",Close To Me,31,28,17,2019-03-23,"October 24, 2018"
1516,Lauren Daigle,You Say,32,30,35,2019-03-23,"July 13, 2018"
1517,5 Seconds Of Summer,Youngblood,33,7,41,2019-03-23,"April 12, 2018"
1518,Dan + Shay,Tequila,34,21,45,2019-03-23,"January 10, 2018"
1519,Pinkfong,Baby Shark,35,32,11,2019-03-23,"June 17, 2016"
1520,A Boogie Wit da Hoodie,Look Back At It,36,32,14,2019-03-23,"December 7, 2018"
1521,Juice WRLD,Lucid Dreams,37,2,44,2019-03-23,"July 1, 2017"
1522,Juice WRLD,Hear Me Calling,38,38,2,2019-03-23,"March 1, 2019"
1523,DJ Snake,Taki Taki,39,11,24,2019-03-23,"September 28, 2018"
1524,"Mustard, Migos",Pure Water,40,40,7,2019-03-23,"January 16, 2019"
1525,Juice WRLD,Empty,41,NA,NA,2019-03-23,"March 8, 2019"
1526,Khalid,Talk,42,42,5,2019-03-23,"February 7, 2019"
1527,Calboy,Envy Me,43,40,13,2019-03-23,"September 13, 2018"
1528,"Cardi B, Bad Bunny, J Balvin",I Like It,44,1,49,2019-03-23,"April 6, 2018"
1529,Billie Eilish,Bury A Friend,45,14,7,2019-03-23,"January 30, 2019"
1530,YNW Melly,Mixed Personalities,46,46,8,2019-03-23,"January 18, 2019"
1531,Juice WRLD,Fast,47,NA,NA,2019-03-23,"March 8, 2019"
1532,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up In The Sky,48,11,26,2019-03-23,"September 14, 2018"
1533,A Boogie Wit da Hoodie,Swervin,49,38,12,2019-03-23,"December 21, 2018"
1534,City Girls,Twerk,50,29,10,2019-03-23,"November 9, 2018"
1535,Lil Nas X,Old Town Road,51,51,2,2019-03-23,"April 5, 2019"
1536,"Summer Walker, Drake",Girls Need Love,52,37,3,2019-03-23,"February 27, 2019"
1537,Chris Stapleton,Millionaire,53,53,14,2019-03-23,"October 20, 2017"
1538,"Daddy Yankee, Katy Perry",Con Calma,54,54,6,2019-03-23,"April 19, 2019"
1539,Scotty McCreery,This Is It,55,42,14,2019-03-23,"May 7, 2018"
1540,Yo Gotti,Put A Date On It,56,56,7,2019-03-23,"January 25, 2019"
1541,Lil Skies,I,57,39,2,2019-03-23,"February 28, 2019"
1542,Jordan Davis,Take It From Me,58,46,11,2019-03-23,"October 19, 2017"
1543,Billie Eilish,Wish You Were Gay,59,59,2,2019-03-23,"March 4, 2019"
1544,Brett Young,Here Tonight,60,60,10,2019-03-23,"September 14, 2018"
1545,Maren Morris,GIRL,61,61,2,2019-03-23,"January 17, 2019"
1546,YK Osiris,Worth It,62,62,4,2019-03-23,"February 8, 2019"
1547,City Girls,Act Up,63,63,2,2019-03-23,"November 16, 2018"
1548,The Chainsmokers,Who Do You Love,64,56,5,2019-03-23,"February 7, 2019"
1549,Juice WRLD,Maze,65,NA,NA,2019-03-23,"March 8, 2019"
1550,Lil Baby,Close Friends,66,28,20,2019-03-23,"October 5, 2018"
1551,Chris Brown,Undecided,67,35,10,2019-03-23,"January 4, 2019"
1552,Jason Aldean,Girl Like You,68,46,16,2019-03-23,"April 13, 2018"
1553,Chase Rice,Eyes On You,69,69,4,2019-03-23,"October 13, 2017"
1554,Imagine Dragons,Bad Liar,70,70,3,2019-03-23,"November 6, 2018"
1555,Ella Mai,Shot Clock,71,68,7,2019-03-23,"October 12, 2018"
1556,Lil Baby,Pure Cocaine,72,46,12,2019-03-23,"November 30, 2018"
1557,Kane Brown,Good As You,73,73,3,2019-03-23,"October 19, 2018"
1558,Riley Green,There Was This Girl,74,71,3,2019-03-23,"June 29, 2018"
1559,Marshmello,Here With Me,75,NA,NA,2019-03-23,"March 8, 2019"
1560,Jake Owen,Down To The Honkytonk,76,69,11,2019-03-23,"August 10, 2018"
1561,Khalid,My Bad,77,NA,NA,2019-03-23,"March 7, 2019"
1562,"Khalid, Kane Brown",Saturday Nights,78,57,6,2019-03-23,"January 11, 2019"
1563,Old Dominion,Make It Sweet,79,76,11,2019-03-23,"October 8, 2018"
1564,Morgan Wallen,Whiskey Glasses,80,80,2,2019-03-23,"April 27, 2018"
1565,"Anuel AA, Romeo Santos",Ella Quiere Beber,81,61,19,2019-03-23,"November 1, 2018"
1566,Thomas Rhett,Look What God Gave Her,82,52,2,2019-03-23,"March 1, 2019"
1567,Kelsea Ballerini,Miss Me More,83,81,6,2019-03-23,"October 20, 2017"
1568,Michael Ray,One That Got Away,84,84,3,2019-03-23,"June 1, 2018"
1569,FLETCHER,Undrunk,85,NA,NA,2019-03-23,"January 25, 2019"
1570,Jon Pardi,Night Shift,86,86,4,2019-03-23,"June 17, 2016"
1571,Kodak Black,Calling My Spirit,87,46,15,2019-03-23,"November 30, 2018"
1572,Lee Brice,Rumor,88,NA,NA,2019-03-23,"November 3, 2017"
1573,"Anuel AA, Karol G",Secreto,89,68,6,2019-03-23,"January 15, 2019"
1574,Luke Bryan,What Makes You Country,90,54,11,2019-03-23,"October 6, 2017"
1575,Juice WRLD,Flaws And Sins,91,NA,NA,2019-03-23,"March 8, 2019"
1576,"Pedro Capo, Farruko",Calma,92,NA,NA,2019-03-23,"October 5, 2018"
1577,"Billie Eilish, Khalid",Lovely,93,64,19,2019-03-23,"April 19, 2018"
1578,Billie Eilish,When The Party's Over,94,52,20,2019-03-23,"October 17, 2018"
1579,Kehlani,Nights Like This,95,67,9,2019-03-23,"January 10, 2019"
1580,"Lil Peep, iLoveMakonnen",I've Been Waiting,96,NA,NA,2019-03-23,"January 31, 2019"
1581,"benny blanco, Tainy, Selena Gomez, J Balvin",I Can't Get Enough,97,93,2,2019-03-23,"February 28, 2019"
1582,Florida Georgia Line,Talk You Out Of It,98,80,4,2019-03-23,"July 6, 2018"
1583,Ski Mask The Slump God,Faucet Failure,99,87,3,2019-03-23,"November 30, 2018"
1584,Lady Gaga,Always Remember Us This Way,100,41,9,2019-03-23,"October 5, 2018"
1585,Jonas Brothers,Sucker,1,1,1,2019-03-16,"March 1, 2019"
1586,Ariana Grande,7 Rings,2,1,7,2019-03-16,"January 18, 2019"
1587,"Cardi B, Bruno Mars",Please Me,3,3,3,2019-03-16,"February 15, 2019"
1588,"Post Malone, Swae Lee",Sunflower,4,1,20,2019-03-16,"October 18, 2018"
1589,Halsey,Without Me,5,1,22,2019-03-16,"October 4, 2018"
1590,"Lady Gaga, Bradley Cooper",Shallow,6,1,23,2019-03-16,"September 27, 2018"
1591,Post Malone,Wow.,7,7,11,2019-03-16,"December 24, 2018"
1592,"Marshmello, Bastille",Happier,8,2,29,2019-03-16,"August 17, 2018"
1593,J. Cole,Middle Child,9,4,7,2019-03-16,"January 23, 2019"
1594,Travis Scott,Sicko Mode,10,1,31,2019-03-16,"August 3, 2018"
1595,Ariana Grande,"Thank U, Next",11,1,18,2019-03-16,"November 3, 2018"
1596,Panic! At The Disco,High Hopes,12,4,31,2019-03-16,"May 23, 2018"
1597,Blueface,Thotiana,13,9,8,2019-03-16,"February 16, 2019"
1598,"benny blanco, Halsey, Khalid",Eastside,14,9,34,2019-03-16,"July 12, 2018"
1599,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",15,2,4,2019-03-16,"February 8, 2019"
1600,Meek Mill,Going Bad,16,6,14,2019-03-16,"November 30, 2018"
1601,YNW Melly,Murder On My Mind,17,14,7,2019-03-16,"March 4, 2017"
1602,21 Savage,A Lot,18,12,11,2019-03-16,"December 21, 2018"
1603,Maroon 5,Girls Like You,19,1,41,2019-03-16,"May 30, 2018"
1604,"Sam Smith, Normani",Dancing With A Stranger,20,20,8,2019-03-16,"January 11, 2019"
1605,Khalid,Better,21,18,25,2019-03-16,"September 14, 2018"
1606,"Lil Baby, Gunna",Drip Too Hard,22,4,25,2019-03-16,"September 9, 2018"
1607,Cardi B,Money,23,13,20,2019-03-16,"October 23, 2018"
1608,Ava Max,Sweet But Psycho,24,24,12,2019-03-16,"August 17, 2018"
1609,Luke Combs,Beautiful Crazy,25,23,17,2019-03-16,"May 4, 2018"
1610,Dean Lewis,Be Alright,26,26,19,2019-03-16,"June 28, 2018"
1611,Bad Bunny,MIA,27,5,21,2019-03-16,"October 11, 2018"
1612,Kodak Black,ZEZE,28,2,21,2019-03-16,"October 12, 2018"
1613,Post Malone,Better Now,29,3,45,2019-03-16,"April 27, 2018"
1614,5 Seconds Of Summer,Youngblood,30,7,40,2019-03-16,"April 12, 2018"
1615,"Ellie Goulding, Diplo",Close To Me,31,28,16,2019-03-16,"October 24, 2018"
1616,Lauren Daigle,You Say,32,30,34,2019-03-16,"July 13, 2018"
1617,Dan + Shay,Tequila,33,21,44,2019-03-16,"January 10, 2018"
1618,Juice WRLD,Robbery,34,27,3,2019-03-16,"February 13, 2019"
1619,A Boogie Wit da Hoodie,Look Back At It,35,32,13,2019-03-16,"December 7, 2018"
1620,Juice WRLD,Lucid Dreams,36,2,43,2019-03-16,"July 1, 2017"
1621,"Summer Walker, Drake",Girls Need Love,37,37,2,2019-03-16,"February 27, 2019"
1622,Pinkfong,Baby Shark,38,32,10,2019-03-16,"June 17, 2016"
1623,Lil Skies,I,39,NA,NA,2019-03-16,"February 28, 2019"
1624,Calboy,Envy Me,40,40,12,2019-03-16,"September 13, 2018"
1625,"Cardi B, Bad Bunny, J Balvin",I Like It,41,1,48,2019-03-16,"April 6, 2018"
1626,Billie Eilish,Bury A Friend,42,14,6,2019-03-16,"January 30, 2019"
1627,DJ Snake,Taki Taki,43,11,23,2019-03-16,"September 28, 2018"
1628,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up In The Sky,44,11,25,2019-03-16,"September 14, 2018"
1629,Flipp Dinero,Leave Me Alone,45,20,25,2019-03-16,"March 14, 2018"
1630,City Girls,Twerk,46,29,9,2019-03-16,"November 9, 2018"
1631,Sheck Wes,Mo Bamba,47,6,28,2019-03-16,"September 15, 2016"
1632,A Boogie Wit da Hoodie,Swervin,48,38,11,2019-03-16,"December 21, 2018"
1633,Khalid,Talk,49,44,4,2019-03-16,"February 7, 2019"
1634,YNW Melly,Mixed Personalities,50,50,7,2019-03-16,"January 18, 2019"
1635,"Mustard, Migos",Pure Water,51,51,6,2019-03-16,"January 16, 2019"
1636,Thomas Rhett,Look What God Gave Her,52,NA,NA,2019-03-16,"March 1, 2019"
1637,Scotty McCreery,This Is It,53,42,13,2019-03-16,"May 7, 2018"
1638,Jordan Davis,Take It From Me,54,46,10,2019-03-16,"October 19, 2017"
1639,Chris Stapleton,Millionaire,55,55,13,2019-03-16,"October 20, 2017"
1640,Juice WRLD,Hear Me Calling,56,NA,NA,2019-03-16,"March 1, 2019"
1641,"Daddy Yankee, Katy Perry",Con Calma,57,57,5,2019-03-16,"April 19, 2019"
1642,Chris Brown,Undecided,58,35,9,2019-03-16,"January 4, 2019"
1643,Lil Baby,Close Friends,59,28,19,2019-03-16,"October 5, 2018"
1644,The Chainsmokers,Who Do You Love,60,56,4,2019-03-16,"February 7, 2019"
1645,Jason Aldean,Girl Like You,61,46,15,2019-03-16,"April 13, 2018"
1646,Brett Young,Here Tonight,62,62,9,2019-03-16,"September 14, 2018"
1647,Midland,Burn Out,63,63,9,2019-03-16,"October 28, 2016"
1648,Lady Gaga,Always Remember Us This Way,64,41,8,2019-03-16,"October 5, 2018"
1649,YK Osiris,Worth It,65,65,3,2019-03-16,"February 8, 2019"
1650,Luke Bryan,What Makes You Country,66,54,10,2019-03-16,"October 6, 2017"
1651,"Anuel AA, Romeo Santos",Ella Quiere Beber,67,61,18,2019-03-16,"November 1, 2018"
1652,Ella Mai,Shot Clock,68,68,6,2019-03-16,"October 12, 2018"
1653,Jake Owen,Down To The Honkytonk,69,69,10,2019-03-16,"August 10, 2018"
1654,Chase Rice,Eyes On You,70,70,3,2019-03-16,"October 13, 2017"
1655,Riley Green,There Was This Girl,71,71,2,2019-03-16,"June 29, 2018"
1656,Imagine Dragons,Bad Liar,72,72,2,2019-03-16,"November 6, 2018"
1657,Offset,Red Room,73,49,3,2019-03-16,"November 30, 2018"
1658,Billie Eilish,Wish You Were Gay,74,NA,NA,2019-03-16,"March 4, 2019"
1659,2 Chainz,Whip,75,NA,NA,2019-03-16,"March 1, 2019"
1660,Old Dominion,Make It Sweet,76,76,10,2019-03-16,"October 8, 2018"
1661,City Girls,Act Up,77,NA,NA,2019-03-16,"November 16, 2018"
1662,Kane Brown,Good As You,78,78,2,2019-03-16,"October 19, 2018"
1663,Kehlani,Nights Like This,79,67,8,2019-03-16,"January 10, 2019"
1664,Kodak Black,Calling My Spirit,80,46,14,2019-03-16,"November 30, 2018"
1665,Kelsea Ballerini,Miss Me More,81,81,5,2019-03-16,"October 20, 2017"
1666,Lil Nas X,Old Town Road,83,NA,NA,2019-03-16,"April 5, 2019"
1667,"Anuel AA, Karol G",Secreto,84,68,5,2019-03-16,"January 15, 2019"
1668,Morgan Wallen,Whiskey Glasses,85,NA,NA,2019-03-16,"April 27, 2018"
1669,Jon Pardi,Night Shift,86,86,3,2019-03-16,"June 17, 2016"
1670,Ski Mask The Slump God,Faucet Failure,87,87,2,2019-03-16,"November 30, 2018"
1671,P!nk,Walk Me Home,88,54,2,2019-03-16,"February 20, 2019"
1672,Michael Ray,One That Got Away,89,89,2,2019-03-16,"June 1, 2018"
