ID,Artists,Name,Weekly.Rank,Peak.Position,Chart.Weeks,BB.Week,Release.Date
7609,Loren Allred,Never Enough,88,NA,NA,2018-01-13,"December 8, 2017"
7610,Migos,Stir Fry,89,89,2,2018-01-13,"December 20, 2017"
7611,Yo Gotti,Juice,90,90,5,2018-01-13,"October 10, 2017"
7612,Chris Stapleton,Broken Halos,91,90,6,2018-01-13,"April 14, 2017"
7613,"Maluma, Nego do Borel",Corazon,92,NA,NA,2018-01-13,"November 3, 2017"
7614,Keith Urban,Female,93,69,2,2018-01-13,"November 8, 2017"
7615,Zayn,Dusk Till Dawn,94,44,17,2018-01-13,"September 8, 2017"
7616,Tank,When We,96,86,6,2018-01-13,"June 15, 2017"
7617,NAV,Wanted You,97,64,7,2018-01-13,"November 3, 2017"
7618,XXXTENTACION,fuck Love,98,41,19,2018-01-13,"August 24, 2017"
7619,"Machine Gun Kelly,, Ambassadors, Bebe Rexha",Home,99,90,4,2018-01-13,"November 16, 2017"
7620,Sofi Tukker,Best Friend,100,NA,NA,2018-01-13,"September 12, 2017"
7621,Ed Sheeran,Perfect,1,1,8,2018-01-06,"March 3, 2017"
7622,Post Malone,Rockstar,2,1,15,2018-01-06,"September 15, 2017"
7623,Camila Cabello,Havana,3,2,20,2018-01-06,"August 3, 2017"
7624,G Easy,No Limit,4,4,16,2018-01-06,"September 7, 2017"
7625,Imagine Dragons,Thunder,5,4,35,2018-01-06,"April 27, 2017"
7626,Lil Pump,Gucci Gang,6,3,16,2018-01-06,"August 27, 2017"
7627,"Migos, Nicki Minaj, Cardi B",MotorSport,7,6,9,2018-01-06,"October 27, 2017"
7628,Sam Smith,Too Good At Goodbyes,8,4,16,2018-01-06,"September 8, 2017"
7629,Halsey,Bad At Love,9,8,17,2018-01-06,"June 2, 2017"
7630,Cardi B,Bodak Yellow,10,1,26,2018-01-06,"June 16, 2017"
7631,Kendrick Lamar,Love.,11,11,27,2018-01-06,"April 14, 2017"
7632,Dua Lipa,New Rules,12,12,22,2018-01-06,"June 2, 2017"
7633,Mariah Carey,All I Want For Christmas Is You,13,9,24,2018-01-06,
7634,Cardi B,Bartier Cardi,14,NA,NA,2018-01-06,"December 22, 2017"
7635,6ix9ine,Gummo,15,12,7,2018-01-06,"October 8, 2017"
7636,Post Malone,I Fall Apart,16,16,14,2018-01-06,"December 9, 2016"
7637,NF,Let You Down,17,16,11,2018-01-06,"September 15, 2017"
7638,Khalid,Young Dumb & Broke,18,18,24,2018-01-06,"March 3, 2017"
7639,Ed Sheeran,Shape Of You,19,1,51,2018-01-06,"January 6, 2017"
7640,Demi Lovato,Sorry Not Sorry,20,6,25,2018-01-06,"July 11, 2017"
7641,Maroon 5,What Lovers Do,21,9,18,2018-01-06,"August 30, 2017"
7642,Gucci Mane,I Get The Bag,22,11,19,2018-01-06,"August 18, 2017"
7643,Portugal. The Man,Feel It Still,23,4,28,2018-01-06,"March 2, 2017"
7644,G Easy,Him & I,24,15,4,2018-01-06,"November 30, 2017"
7645,Imagine Dragons,Believer,25,4,47,2018-01-06,"February 1, 2017"
7646,"Bebe Rexha, Florida Georgia Line",Meant To Be,26,26,10,2018-01-06,"August 11, 2017"
7647,Charlie Puth,How Long,27,26,12,2018-01-06,"October 5, 2017"
7648,21 Savage,Bank Account,28,12,25,2018-01-06,"July 7, 2017"
7649,"Selena Gomez, Marshmello",Wolves,29,20,10,2018-01-06,"October 25, 2017"
7650,"Luis Fonsi, Daddy Yankee",Despacito,30,1,50,2018-01-06,"April 17, 2017"
7651,A$AP Ferg,Plain Jane,31,26,14,2018-01-06,"December 15, 2017"
7652,"J Balvin, Willy William",Mi Gente,32,3,26,2018-01-06,"September 28, 2017"
7653,SZA,The Weekend,33,29,22,2018-01-06,"June 9, 2017"
7654,Logic,1-800-273-8255,34,3,35,2018-01-06,"April 28, 2017"
7655,Lil Uzi Vert,The Way Life Goes,35,24,18,2018-01-06,"November 3, 2017"
7656,Brenda Lee,Rockin' Around The Christmas Tree,36,14,22,2018-01-06,
7657,Bruno Mars,That's What I Like,37,1,50,2018-01-06,"January 30, 2016"
7658,Andy Williams,It's The Most Wonderful Time Of The Year,38,32,5,2018-01-06,
7659,Charlie Puth,Attention,39,5,36,2018-01-06,"April 21, 2017"
7660,Taylor Swift,End Game,40,39,6,2018-01-06,"November 10, 2017"
7661,Miguel,Sky Walker,41,35,14,2018-01-06,"August 25, 2017"
7662,Nat King Cole,The Christmas Song,42,37,12,2018-01-06,
7663,Eminem,River,43,11,2,2018-01-06,"December 15, 2017"
7664,Marshmello,Silence,44,30,20,2018-01-06,"August 11, 2017"
7665,Thomas Rhett,Marry Me,45,45,4,2018-01-06,"September 8, 2017"
7666,Burl Ives,A Holly Jolly Christmas,46,38,5,2018-01-06,
7667,French Montana,Unforgettable,47,3,38,2018-01-06,"April 7, 2017"
7668,P!nk,What About Us,48,13,21,2018-01-06,"August 10, 2017"
7669,"N*E*R*D, Rihanna",Lemon,49,46,8,2018-01-06,"November 1, 2017"
7670,Post Malone,Candy Paint,50,50,10,2018-01-06,"April 14, 2017"
7671,Kodak Black,Roll In Peace,51,51,19,2018-01-06,"August 18, 2017"
7672,"Ozuna, Cardi B",La Modelo,52,NA,NA,2018-01-06,"December 19, 2017"
7673,"Offset, Metro Boomin",Ric Flair Drip,53,44,9,2018-01-06,"December 14, 2016"
7674,MAX,Lights Down Low,54,54,12,2018-01-06,"October 14, 2016"
7675,"Hailee Steinfeld, Alesso",Let Me Go,55,52,14,2018-01-06,"September 8, 2017"
7676,Brett Young,Like I Loved You,56,54,14,2018-01-06,"February 10, 2017"
7677,LANCO,Greatest Love Story,58,45,17,2018-01-06,"April 15, 2016"
7678,YBN Nahmir,Rubbin Off The Paint,59,46,8,2018-01-06,"August 21, 2017"
7679,Macklemore,Good Old Days,60,60,10,2018-01-06,"September 19, 2017"
7680,Taylor Swift,...Ready For It?,61,4,17,2018-01-06,"September 3, 2017"
7681,Russell Dickerson,Yours,62,62,11,2018-01-06,"October 24, 2016"
7682,Blake Shelton,I'll Name The Dogs,63,58,16,2018-01-06,"September 8, 2017"
7683,Tay,The Race,64,44,20,2018-01-06,"June 15, 2017"
7684,Huncho Jack,Eye 2 Eye,65,NA,NA,2018-01-06,"December 21, 2017"
7685,Taylor Swift,Look What You Made Me Do,66,1,19,2018-01-06,"August 25, 2017"
7686,6ix9ine,Kooda,67,50,4,2018-01-06,"December 3, 2017"
7687,Huncho Jack,Modern Slavery,68,NA,NA,2018-01-06,"December 22, 2017"
7688,Kodak Black,Codeine Dreaming,70,52,5,2018-01-06,"November 24, 2017"
7689,Eric Church,Round Here Buzz,72,68,14,2018-01-06,"November 4, 2015"
7690,Luke Bryan,Light It Up,73,57,18,2018-01-06,"August 23, 2017"
7691,"Luis Fonsi, Demi Lovato",Echame La Culpa,74,47,6,2018-01-06,"November 17, 2017"
7692,Lil Xan,Betrayed,75,67,7,2018-01-06,"June 19, 2017"
7693,Chris Young,Losing Sleep,76,63,14,2018-01-06,"May 12, 2017"
7694,YoungBoy Never Broke Again,No Smoke,77,77,4,2018-01-06,"August 3, 2017"
7695,Demi Lovato,Tell Me You Love Me,78,53,5,2018-01-06,"August 25, 2017"
7696,Walker Hayes,You Broke Up With Me,79,79,10,2018-01-06,"January 27, 2017"
7697,"Quavo, Lil Yachty",Ice Tray,80,80,2,2018-01-06,"December 8, 2017"
7698,Maren Morris,I Could Use A Love Song,81,75,19,2018-01-06,"June 3, 2016"
7699,Huncho Jack,Dubai Shit,83,NA,NA,2018-01-06,"December 22, 2017"
7700,Lil Baby,My Dawg,84,71,3,2018-01-06,"July 12, 2017"
7701,Famous Dex,Pick It Up,85,73,7,2018-01-06,"October 18, 2017"
7702,Old Dominion,Written In The Sand,86,86,6,2018-01-06,"July 7, 2017"
7703,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage, Rvssian",Krippy Kush,88,85,3,2018-01-06,"November 21, 2017"
7704,Scotty McCreery,Five More Minutes,89,89,4,2018-01-06,"May 5, 2017"
7705,Huncho Jack,Motorcycle Patches,90,NA,NA,2018-01-06,"December 22, 2017"
7706,Becky G,Mayores,91,74,10,2018-01-06,"July 14, 2017"
7707,Huncho Jack,Saint,92,NA,NA,2018-01-06,"December 22, 2017"
7708,Eminem,Walk On Water,93,14,5,2018-01-06,"November 10, 2017"
7709,Migos,Stir Fry,94,NA,NA,2018-01-06,"December 20, 2017"
7710,"Machine Gun Kelly,, Ambassadors, Bebe Rexha",Home,95,90,3,2018-01-06,"November 16, 2017"
7711,XXXTENTACION,fuck Love,96,41,18,2018-01-06,"August 24, 2017"
7712,Kelsea Ballerini,Legends,97,97,4,2018-01-06,"June 7, 2017"
7713,Niall Horan,Too Much To Ask,98,66,10,2018-01-06,"September 15, 2017"
7714,Zayn,Dusk Till Dawn,99,44,16,2018-01-06,"September 8, 2017"
7715,Yo Gotti,Juice,100,93,4,2018-01-06,"October 10, 2017"
7716,Ed Sheeran,Perfect,1,1,6,2017-12-30,"March 3, 2017"
7717,Post Malone,Rockstar,2,1,13,2017-12-30,"September 15, 2017"
7718,Camila Cabello,Havana,3,2,18,2017-12-30,"August 3, 2017"
7719,Lil Pump,Gucci Gang,4,3,14,2017-12-30,"August 27, 2017"
7720,Imagine Dragons,Thunder,5,4,33,2017-12-30,"April 27, 2017"
7721,"Migos, Nicki Minaj, Cardi B",MotorSport,6,6,7,2017-12-30,"October 27, 2017"
7722,Sam Smith,Too Good At Goodbyes,7,4,14,2017-12-30,"September 8, 2017"
7723,Halsey,Bad At Love,8,8,15,2017-12-30,"June 2, 2017"
7724,Mariah Carey,All I Want For Christmas Is You,9,9,22,2017-12-30,
7725,G Easy,No Limit,10,7,14,2017-12-30,"September 7, 2017"
7726,Cardi B,Bodak Yellow,11,1,24,2017-12-30,"June 16, 2017"
7727,6ix9ine,Gummo,12,12,5,2017-12-30,"October 8, 2017"
7728,Maroon 5,What Lovers Do,13,9,16,2017-12-30,"August 30, 2017"
7729,Dua Lipa,New Rules,14,14,20,2017-12-30,"June 2, 2017"
7730,Gucci Mane,I Get The Bag,15,11,17,2017-12-30,"August 18, 2017"
7731,NF,Let You Down,16,16,9,2017-12-30,"September 15, 2017"
7732,Portugal. The Man,Feel It Still,17,4,26,2017-12-30,"March 2, 2017"
7733,Demi Lovato,Sorry Not Sorry,18,6,23,2017-12-30,"July 11, 2017"
7734,Post Malone,I Fall Apart,19,19,12,2017-12-30,"December 9, 2016"
7735,"J Balvin, Willy William",Mi Gente,20,3,24,2017-12-30,"September 28, 2017"
7736,"Selena Gomez, Marshmello",Wolves,21,20,8,2017-12-30,"October 25, 2017"
7737,Logic,1-800-273-8255,22,3,33,2017-12-30,"April 28, 2017"
7738,Ed Sheeran,Shape Of You,23,1,49,2017-12-30,"January 6, 2017"
7739,Lil Uzi Vert,The Way Life Goes,24,24,16,2017-12-30,"November 3, 2017"
7740,Kendrick Lamar,Love.,25,18,25,2017-12-30,"April 14, 2017"
7741,G Easy,Him & I,26,21,2,2017-12-30,"November 30, 2017"
7742,21 Savage,Bank Account,27,12,23,2017-12-30,"July 7, 2017"
7743,"Bebe Rexha, Florida Georgia Line",Meant To Be,28,28,8,2017-12-30,"August 11, 2017"
7744,Charlie Puth,How Long,29,26,10,2017-12-30,"October 5, 2017"
7745,Marshmello,Silence,30,30,18,2017-12-30,"August 11, 2017"
7746,"Luis Fonsi, Daddy Yankee",Despacito,31,1,48,2017-12-30,"April 17, 2017"
7747,Khalid,Young Dumb & Broke,32,22,22,2017-12-30,"March 3, 2017"
7748,Imagine Dragons,Believer,33,4,45,2017-12-30,"February 1, 2017"
7749,Brenda Lee,Rockin' Around The Christmas Tree,34,14,20,2017-12-30,
7750,Andy Williams,It's The Most Wonderful Time Of The Year,35,35,3,2017-12-30,
7751,Miguel,Sky Walker,36,35,12,2017-12-30,"August 25, 2017"
7752,Taylor Swift,...Ready For It?,37,4,15,2017-12-30,"September 3, 2017"
7753,Nat King Cole,The Christmas Song,38,38,10,2017-12-30,
7754,SZA,The Weekend,39,37,20,2017-12-30,"June 9, 2017"
7755,French Montana,Unforgettable,40,3,36,2017-12-30,"April 7, 2017"
7756,Burl Ives,A Holly Jolly Christmas,41,41,3,2017-12-30,
7757,Charlie Puth,Attention,42,5,34,2017-12-30,"April 21, 2017"
7758,Bruno Mars,That's What I Like,43,1,48,2017-12-30,"January 30, 2016"
7759,Wham!,Last Christmas,44,41,3,2017-12-30,
7760,"Offset, Metro Boomin",Ric Flair Drip,45,44,7,2017-12-30,"December 14, 2016"
7761,A$AP Ferg,Plain Jane,46,41,12,2017-12-30,"December 15, 2017"
7762,Kendrick Lamar,Humble.,47,1,37,2017-12-30,"March 30, 2017"
7763,Shawn Mendes,There's Nothing Holdin' Me Back,48,6,34,2017-12-30,"April 20, 2017"
7764,Taylor Swift,End Game,49,39,4,2017-12-30,"November 10, 2017"
7765,6ix9ine,Kooda,50,50,2,2017-12-30,"December 3, 2017"
7766,Kodak Black,Roll In Peace,51,51,17,2017-12-30,"August 18, 2017"
7767,LANCO,Greatest Love Story,52,45,15,2017-12-30,"April 15, 2016"
7768,Brett Young,Like I Loved You,54,54,12,2017-12-30,"February 10, 2017"
7769,YBN Nahmir,Rubbin Off The Paint,55,46,6,2017-12-30,"August 21, 2017"
7770,"Hailee Steinfeld, Alesso",Let Me Go,56,53,12,2017-12-30,"September 8, 2017"
7771,P!nk,What About Us,57,13,19,2017-12-30,"August 10, 2017"
7772,"N*E*R*D, Rihanna",Lemon,58,58,6,2017-12-30,"November 1, 2017"
7773,MAX,Lights Down Low,59,59,10,2017-12-30,"October 14, 2016"
7774,Blake Shelton,I'll Name The Dogs,60,58,14,2017-12-30,"September 8, 2017"
7775,Camila Cabello,Never Be The Same,61,NA,NA,2017-12-30,"December 7, 2017"
7776,Post Malone,Candy Paint,62,59,8,2017-12-30,"April 14, 2017"
7777,Kodak Black,Codeine Dreaming,63,52,3,2017-12-30,"November 24, 2017"
7778,Macklemore,Good Old Days,64,64,8,2017-12-30,"September 19, 2017"
7779,Luke Bryan,Light It Up,65,57,16,2017-12-30,"August 23, 2017"
7780,Russell Dickerson,Yours,66,66,9,2017-12-30,"October 24, 2016"
7781,"Big Sean, Metro Boomin",Go Legend,67,NA,NA,2017-12-30,"December 8, 2017"
7782,Luke Combs,When It Rains It Pours,68,33,20,2017-12-30,"June 2, 2017"
7783,Eric Church,Round Here Buzz,69,68,12,2017-12-30,"November 4, 2015"
7784,Taylor Swift,Look What You Made Me Do,70,1,17,2017-12-30,"August 25, 2017"
7785,Thomas Rhett,Unforgettable,71,47,20,2017-12-30,"July 28, 2017"
7786,Trippie Redd,Dark Knight Dummo,72,NA,NA,2017-12-30,"December 5, 2017"
7787,Lil Xan,Betrayed,73,67,5,2017-12-30,"June 19, 2017"
7788,Chris Young,Losing Sleep,74,63,12,2017-12-30,"May 12, 2017"
7789,"Luis Fonsi, Demi Lovato",Echame La Culpa,75,47,4,2017-12-30,"November 17, 2017"
7790,Famous Dex,Pick It Up,76,73,5,2017-12-30,"October 18, 2017"
7791,Lil Baby,My Dawg,77,NA,NA,2017-12-30,"July 12, 2017"
7792,Maren Morris,I Could Use A Love Song,78,75,17,2017-12-30,"June 3, 2016"
7793,"Big Sean, Metro Boomin",Pull Up N Wreck,80,80,2,2017-12-30,"November 3, 2017"
7794,Demi Lovato,Tell Me You Love Me,81,53,3,2017-12-30,"August 25, 2017"
7795,"Migos, Marshmello",Danger,82,NA,NA,2017-12-30,"December 7, 2017"
7796,Walker Hayes,You Broke Up With Me,83,83,8,2017-12-30,"January 27, 2017"
7797,NAV,Wanted You,84,64,5,2017-12-30,"November 3, 2017"
7798,Zayn,Dusk Till Dawn,85,44,14,2017-12-30,"September 8, 2017"
7799,Eminem,Untouchable,86,NA,NA,2017-12-30,"December 8, 2017"
7800,Becky G,Mayores,87,74,8,2017-12-30,"July 14, 2017"
7801,XXXTENTACION,fuck Love,88,41,16,2017-12-30,"August 24, 2017"
7802,Old Dominion,Written In The Sand,89,88,4,2017-12-30,"July 7, 2017"
7803,"21 Savage, Offset, Metro Boomin",Ghostface Killers,90,35,7,2017-12-30,"October 31, 2017"
7804,Niall Horan,Too Much To Ask,91,66,8,2017-12-30,"September 15, 2017"
7805,Thomas Rhett,Marry Me,92,92,2,2017-12-30,"September 8, 2017"
7806,YoungBoy Never Broke Again,No Smoke,93,93,2,2017-12-30,"August 3, 2017"
7807,Tank,When We,94,86,4,2017-12-30,"June 15, 2017"
7808,Scotty McCreery,Five More Minutes,95,95,2,2017-12-30,"May 5, 2017"
7809,Yo Gotti,Juice,96,93,2,2017-12-30,"October 10, 2017"
7810,Devin Dawson,All On Me,97,91,4,2017-12-30,"February 4, 2017"
7811,XXXTENTACION,Jocelyn Flores,98,31,16,2017-12-30,"August 25, 2017"
7812,Kelsea Ballerini,Legends,99,98,2,2017-12-30,"June 7, 2017"
7813,Calvin Harris,Faking It,100,94,4,2017-12-30,"June 30, 2017"
7814,Ed Sheeran,Perfect,1,1,5,2017-12-23,"March 3, 2017"
7815,Post Malone,Rockstar,2,1,12,2017-12-23,"September 15, 2017"
7816,Camila Cabello,Havana,3,2,17,2017-12-23,"August 3, 2017"
7817,Lil Pump,Gucci Gang,4,3,13,2017-12-23,"August 27, 2017"
7818,Imagine Dragons,Thunder,5,4,32,2017-12-23,"April 27, 2017"
7819,Sam Smith,Too Good At Goodbyes,6,4,13,2017-12-23,"September 8, 2017"
7820,G Easy,No Limit,7,7,13,2017-12-23,"September 7, 2017"
7821,Halsey,Bad At Love,8,8,14,2017-12-23,"June 2, 2017"
7822,Cardi B,Bodak Yellow,9,1,23,2017-12-23,"June 16, 2017"
7823,Maroon 5,What Lovers Do,10,9,15,2017-12-23,"August 30, 2017"
7824,Mariah Carey,All I Want For Christmas Is You,11,11,21,2017-12-23,
7825,Portugal. The Man,Feel It Still,12,4,25,2017-12-23,"March 2, 2017"
7826,6ix9ine,Gummo,13,13,4,2017-12-23,"October 8, 2017"
7827,Gucci Mane,I Get The Bag,14,11,16,2017-12-23,"August 18, 2017"
7828,"Migos, Nicki Minaj, Cardi B",MotorSport,15,14,6,2017-12-23,"October 27, 2017"
7829,Demi Lovato,Sorry Not Sorry,16,6,22,2017-12-23,"July 11, 2017"
7830,Dua Lipa,New Rules,17,15,19,2017-12-23,"June 2, 2017"
7831,"J Balvin, Willy William",Mi Gente,18,3,23,2017-12-23,"September 28, 2017"
7832,Logic,1-800-273-8255,19,3,32,2017-12-23,"April 28, 2017"
7833,"Selena Gomez, Marshmello",Wolves,20,20,7,2017-12-23,"October 25, 2017"
7834,G Easy,Him & I,21,NA,NA,2017-12-23,"November 30, 2017"
7835,NF,Let You Down,22,22,8,2017-12-23,"September 15, 2017"
7836,Post Malone,I Fall Apart,23,19,11,2017-12-23,"December 9, 2016"
7837,21 Savage,Bank Account,24,12,22,2017-12-23,"July 7, 2017"
7838,Ed Sheeran,Shape Of You,25,1,48,2017-12-23,"January 6, 2017"
7839,Charlie Puth,How Long,26,26,9,2017-12-23,"October 5, 2017"
7840,Kendrick Lamar,Love.,27,18,24,2017-12-23,"April 14, 2017"
7841,Khalid,Young Dumb & Broke,28,22,21,2017-12-23,"March 3, 2017"
7842,Lil Uzi Vert,The Way Life Goes,29,29,15,2017-12-23,"November 3, 2017"
7843,Imagine Dragons,Believer,30,4,44,2017-12-23,"February 1, 2017"
7844,"Bebe Rexha, Florida Georgia Line",Meant To Be,31,31,7,2017-12-23,"August 11, 2017"
7845,"Luis Fonsi, Daddy Yankee",Despacito,32,1,47,2017-12-23,"April 17, 2017"
7846,Marshmello,Silence,33,33,17,2017-12-23,"August 11, 2017"
7847,French Montana,Unforgettable,34,3,35,2017-12-23,"April 7, 2017"
7848,Miguel,Sky Walker,35,35,11,2017-12-23,"August 25, 2017"
7849,Charlie Puth,Attention,36,5,33,2017-12-23,"April 21, 2017"
7850,Brenda Lee,Rockin' Around The Christmas Tree,37,14,19,2017-12-23,
7851,SZA,The Weekend,38,37,19,2017-12-23,"June 9, 2017"
7852,Taylor Swift,End Game,39,39,3,2017-12-23,"November 10, 2017"
7853,Bruno Mars,That's What I Like,40,1,47,2017-12-23,"January 30, 2016"
7854,A$AP Ferg,Plain Jane,41,41,11,2017-12-23,"December 15, 2017"
7855,Nat King Cole,The Christmas Song,42,38,9,2017-12-23,
7856,Taylor Swift,...Ready For It?,43,4,14,2017-12-23,"September 3, 2017"
7857,"Offset, Metro Boomin",Ric Flair Drip,44,44,6,2017-12-23,"December 14, 2016"
7858,Andy Williams,It's The Most Wonderful Time Of The Year,45,45,2,2017-12-23,
7859,Shawn Mendes,There's Nothing Holdin' Me Back,46,6,33,2017-12-23,"April 20, 2017"
7860,Burl Ives,A Holly Jolly Christmas,47,46,2,2017-12-23,
7861,YBN Nahmir,Rubbin Off The Paint,48,46,5,2017-12-23,"August 21, 2017"
7862,Post Malone,Congratulations,49,8,50,2017-12-23,"November 4, 2016"
7863,Kendrick Lamar,Humble.,50,1,36,2017-12-23,"March 30, 2017"
7864,P!nk,What About Us,51,13,18,2017-12-23,"August 10, 2017"
7865,Demi Lovato,Tell Me You Love Me,53,53,2,2017-12-23,"August 25, 2017"
7866,LANCO,Greatest Love Story,54,45,14,2017-12-23,"April 15, 2016"
7867,"Hailee Steinfeld, Alesso",Let Me Go,55,53,11,2017-12-23,"September 8, 2017"
7868,Kodak Black,Roll In Peace,56,53,16,2017-12-23,"August 18, 2017"
7869,Luke Bryan,Light It Up,57,57,15,2017-12-23,"August 23, 2017"
7870,Kodak Black,Codeine Dreaming,58,52,2,2017-12-23,"November 24, 2017"
7871,Post Malone,Candy Paint,59,59,7,2017-12-23,"April 14, 2017"
7872,"N*E*R*D, Rihanna",Lemon,60,60,5,2017-12-23,"November 1, 2017"
7873,6ix9ine,Kooda,61,NA,NA,2017-12-23,"December 3, 2017"
7874,Brett Young,Like I Loved You,62,61,11,2017-12-23,"February 10, 2017"
7875,Blake Shelton,I'll Name The Dogs,63,58,13,2017-12-23,"September 8, 2017"
7876,Macklemore,Good Old Days,64,64,7,2017-12-23,"September 19, 2017"
7877,Luke Combs,When It Rains It Pours,65,33,19,2017-12-23,"June 2, 2017"
7878,MAX,Lights Down Low,66,66,9,2017-12-23,"October 14, 2016"
7879,Russell Dickerson,Yours,67,67,8,2017-12-23,"October 24, 2016"
7880,Lil Xan,Betrayed,68,67,4,2017-12-23,"June 19, 2017"
7881,Thomas Rhett,Unforgettable,69,47,19,2017-12-23,"July 28, 2017"
7882,Eric Church,Round Here Buzz,70,68,11,2017-12-23,"November 4, 2015"
7883,Taylor Swift,Look What You Made Me Do,72,1,16,2017-12-23,"August 25, 2017"
7884,Famous Dex,Pick It Up,73,73,4,2017-12-23,"October 18, 2017"
7885,Tay,The Race,74,44,18,2017-12-23,"June 15, 2017"
7886,"Luis Fonsi, Demi Lovato",Echame La Culpa,75,47,3,2017-12-23,"November 17, 2017"
7887,NAV,Wanted You,76,64,4,2017-12-23,"November 3, 2017"
7888,Chris Young,Losing Sleep,77,63,11,2017-12-23,"May 12, 2017"
7889,Zayn,Dusk Till Dawn,78,44,13,2017-12-23,"September 8, 2017"
7890,Kelly Clarkson,Love So Soft,79,47,13,2017-12-23,"September 7, 2017"
7891,Maren Morris,I Could Use A Love Song,80,75,16,2017-12-23,"June 3, 2016"
7892,"21 Savage, Offset, Metro Boomin",Ghostface Killers,81,35,6,2017-12-23,"October 31, 2017"
7893,XXXTENTACION,fuck Love,82,41,15,2017-12-23,"August 24, 2017"
7894,Becky G,Mayores,83,74,7,2017-12-23,"July 14, 2017"
7895,Walker Hayes,You Broke Up With Me,84,84,7,2017-12-23,"January 27, 2017"
7896,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage, Rvssian",Krippy Kush,85,85,2,2017-12-23,"November 21, 2017"
7897,Tank,When We,86,86,3,2017-12-23,"June 15, 2017"
7898,XXXTENTACION,Jocelyn Flores,87,31,15,2017-12-23,"August 25, 2017"
7899,Old Dominion,Written In The Sand,88,88,3,2017-12-23,"July 7, 2017"
7900,Niall Horan,Too Much To Ask,89,66,7,2017-12-23,"September 15, 2017"
7901,Chris Stapleton,Broken Halos,90,90,5,2017-12-23,"April 14, 2017"
7902,Devin Dawson,All On Me,91,91,3,2017-12-23,"February 4, 2017"
7903,Kodak Black,Transportin',92,46,16,2017-12-23,"August 18, 2017"
7904,Yo Gotti,Juice,93,NA,NA,2017-12-23,"October 10, 2017"
7905,Garth Brooks,Ask Me How I Know,94,71,7,2017-12-23,"November 25, 2016"
7906,Romeo Santos,Bella y Sensual,95,NA,NA,2017-12-23,"July 21, 2017"
7907,Calvin Harris,Faking It,96,94,3,2017-12-23,"June 30, 2017"
7908,Thomas Rhett,Marry Me,97,NA,NA,2017-12-23,"September 8, 2017"
7909,Scotty McCreery,Five More Minutes,98,NA,NA,2017-12-23,"May 5, 2017"
7910,"Natti Natasha, Ozuna",Criminal,99,NA,NA,2017-12-23,"August 18, 2017"
7911,Lil Uzi Vert,Sauce It Up,100,49,15,2017-12-23,"August 25, 2017"
7912,Post Malone,Rockstar,1,1,1,2017-12-16,"September 15, 2017"
7913,Camila Cabello,Havana,2,2,16,2017-12-16,"August 3, 2017"
7914,Ed Sheeran,Perfect,3,3,14,2017-12-16,"March 3, 2017"
7915,Lil Pump,Gucci Gang,4,3,12,2017-12-16,"August 27, 2017"
7916,Imagine Dragons,Thunder,5,4,31,2017-12-16,"April 27, 2017"
7917,Sam Smith,Too Good At Goodbyes,6,4,12,2017-12-16,"September 8, 2017"
7918,Cardi B,Bodak Yellow,7,1,22,2017-12-16,"June 16, 2017"
7919,G Easy,No Limit,8,8,12,2017-12-16,"September 7, 2017"
7920,Maroon 5,What Lovers Do,9,9,14,2017-12-16,"August 30, 2017"
7921,Portugal. The Man,Feel It Still,10,4,24,2017-12-16,"March 2, 2017"
7922,Halsey,Bad At Love,11,11,13,2017-12-16,"June 2, 2017"
7923,Demi Lovato,Sorry Not Sorry,12,6,21,2017-12-16,"July 11, 2017"
7924,"J Balvin, Willy William",Mi Gente,13,3,22,2017-12-16,"September 28, 2017"
7925,Logic,1-800-273-8255,14,3,31,2017-12-16,"April 28, 2017"
7926,Dua Lipa,New Rules,15,15,18,2017-12-16,"June 2, 2017"
7927,Gucci Mane,I Get The Bag,16,11,15,2017-12-16,"August 18, 2017"
7928,"Migos, Nicki Minaj, Cardi B",MotorSport,17,14,5,2017-12-16,"October 27, 2017"
7929,21 Savage,Bank Account,18,12,21,2017-12-16,"July 7, 2017"
7930,Post Malone,I Fall Apart,19,19,10,2017-12-16,"December 9, 2016"
7931,"Selena Gomez, Marshmello",Wolves,20,20,6,2017-12-16,"October 25, 2017"
7932,Mariah Carey,All I Want For Christmas Is You,21,11,20,2017-12-16,
7933,Khalid,Young Dumb & Broke,22,22,20,2017-12-16,"March 3, 2017"
7934,"Luis Fonsi, Daddy Yankee",Despacito,23,1,46,2017-12-16,"April 17, 2017"
7935,French Montana,Unforgettable,24,3,34,2017-12-16,"April 7, 2017"
7936,Imagine Dragons,Believer,25,4,43,2017-12-16,"February 1, 2017"
7937,Ed Sheeran,Shape Of You,26,1,47,2017-12-16,"January 6, 2017"
7938,Kendrick Lamar,Love.,27,18,23,2017-12-16,"April 14, 2017"
7939,NF,Let You Down,29,29,7,2017-12-16,"September 15, 2017"
7940,Charlie Puth,Attention,30,5,32,2017-12-16,"April 21, 2017"
7941,Taylor Swift,...Ready For It?,31,4,13,2017-12-16,"September 3, 2017"
7942,Charlie Puth,How Long,32,32,8,2017-12-16,"October 5, 2017"
7943,P!nk,What About Us,33,13,17,2017-12-16,"August 10, 2017"
